pir,ldr_1,ldr_2,temp,hum,mic,led_on,timestamp
1,0,1,24.19,75.28,221,0,1671638066
0,0,1,24.71,70.95,183,0,1670273278
1,1,1,25.9,40.78,12,0,1662452790
0,0,1,25.68,73.01,1199,0,1681759220
0,0,1,25.96,71.31,4095,1,1681849651
0,0,1,27.17,55.89,80,0,1667207884
0,0,1,26.77,25.61,41,0,1662909949
1,1,1,27.53,54.18,315,1,1677539946
0,1,1,25.92,33.39,36,1,1662772159
1,0,1,25.91,69.53,300,0,1675782745
0,1,1,27.96,28.78,34,1,1663031985
1,0,1,24.71,75.37,112,0,1671205170
0,0,1,24.86,42.49,13,0,1660742149
0,0,1,25.88,61.39,187,0,1664123380
1,1,1,25.98,70.66,106,0,1668828895
1,0,1,25.7,70.05,249,0,1675683313
0,0,1,25.12,67.47,3305,0,1668167707
1,0,1,26.32,65.2,97,0,1667301506
0,1,1,23.06,65.36,3359,0,1667539636
0,1,1,25.27,76.21,1164,0,1680917190
1,0,1,26.4,28.29,35,0,1662752136
1,1,1,26.83,29.49,32,1,1662849250
0,0,1,28.41,40.75,82,0,1663439979
1,1,1,26.84,63.83,285,0,1676115590
1,1,1,23.96,36.87,16,0,1661392566
1,0,1,25.5,65.72,434,0,1674389430
1,0,1,25.58,59.35,182,0,1664199893
0,0,1,25.21,22.31,16,0,1662228833
1,0,1,25.91,61.39,355,0,1674213579
1,0,1,27.13,55.5,118,0,1665144884
1,1,1,26.92,59.83,297,0,1676070114
1,1,1,25.5,68.01,400,0,1672809755
1,0,1,25.76,68.66,469,0,1673724169
0,1,1,24.76,71.58,176,0,1669621665
1,1,1,27.37,59.65,297,0,1676185876
0,1,1,24.59,74.3,946,0,1668546057
1,1,1,25.57,70.24,114,0,1678558823
0,1,1,23.98,70.99,73,0,1667372610
1,0,1,26.1,29.1,31,0,1662742423
1,1,1,26.41,58.73,1154,0,1680144201
1,1,1,26.54,53.25,149,0,1663643790
0,0,1,25.24,37.84,13,0,1660750640
1,1,1,26.97,64.09,305,0,1677496252
1,1,0,24.72,66.38,144,0,1669004108
1,1,1,25.91,66.7,368,1,1674263087
1,1,1,25.59,69.97,1175,1,1680828540
1,0,1,24.88,71.86,848,0,1673621176
1,0,1,25.83,67.35,160,0,1669310737
1,1,1,24.51,73.44,590,1,1673658341
0,0,1,24.86,42.0,12,0,1660663884
1,1,1,28.16,34.39,89,1,1665524568
1,1,1,27.84,57.23,301,1,1676314392
1,1,1,25.54,68.17,112,0,1678818128
1,0,1,26.88,51.4,227,0,1664886709
0,1,1,27.71,33.55,172,1,1665966874
1,0,1,26.11,63.72,320,0,1678207712
0,1,1,24.91,73.13,1339,0,1680761729
1,1,1,25.86,75.26,1132,1,1681689282
1,1,1,27.62,58.87,315,0,1677633358
1,0,1,25.29,70.13,237,1,1671139417
0,0,1,28.33,47.01,213,0,1664554563
0,1,1,25.63,62.24,177,0,1664090587
1,1,1,25.27,68.33,193,1,1671763463
1,1,1,25.63,70.85,252,0,1672640883
1,1,1,25.81,57.52,716,1,1668040024
1,0,1,23.63,45.72,20,0,1660387810
0,1,1,24.48,46.48,2,0,1659506649
0,1,1,24.71,43.57,0,0,1659861964
1,0,1,27.46,37.31,193,0,1666008191
1,1,1,24.09,70.8,873,0,1668323380
1,1,1,24.18,70.93,129,0,1679240611
1,1,1,24.83,71.54,305,0,1673585786
1,1,1,26.3,57.48,1163,0,1680147845
0,0,1,26.12,59.37,505,0,1666635889
1,0,1,25.07,74.39,202,0,1672052693
1,0,1,25.02,42.0,0,0,1659558804
1,1,1,26.64,62.65,1146,1,1679963788
1,1,1,25.75,69.3,185,1,1671926067
1,1,1,24.79,71.86,219,0,1671178380
1,1,1,28.11,59.37,303,0,1676342892
0,1,1,25.34,62.58,176,0,1664171943
1,0,1,25.92,55.15,145,0,1668966374
1,1,1,25.19,59.44,97,0,1668839235
1,0,1,25.47,41.96,8,0,1659964516
1,0,1,25.42,70.92,191,0,1672245872
1,0,0,27.4,52.52,462,0,1673976742
0,0,1,24.64,65.68,1157,0,1680632408
1,1,1,26.95,55.55,97,1,1666919738
0,1,1,25.47,36.77,5,1,1660779749
1,0,1,26.52,55.27,176,0,1670788731
0,1,1,25.05,37.14,3,0,1660810068
0,1,1,24.08,40.63,15,0,1661499359
0,0,1,27.6,46.04,91,0,1666971427
1,1,1,25.91,63.25,218,1,1663968579
0,1,1,25.17,43.97,10,0,1660956871
0,0,1,24.81,72.69,1176,0,1680778132
1,0,1,28.19,34.94,182,0,1665761564
1,1,1,25.9,67.76,313,0,1677823816
1,1,1,26.88,62.57,320,0,1676794640
0,0,1,26.61,57.69,112,0,1664962626
1,1,1,23.37,41.04,5,0,1661330060
1,0,1,25.52,71.26,574,0,1673541283
1,0,1,25.85,70.86,3776,0,1674402314
1,1,1,26.51,64.3,326,0,1676820120
0,0,1,24.68,62.23,208,0,1669818179
1,1,1,27.89,60.18,321,0,1676544276
1,0,1,25.3,68.76,247,0,1673880272
1,0,1,25.6,69.22,197,0,1670261715
0,1,1,24.92,75.31,1164,0,1681376404
1,0,1,26.62,28.24,16,0,1662407292
1,1,1,23.79,62.11,1728,1,1667688566
1,0,1,27.5,53.96,87,0,1667220043
1,1,1,25.75,57.58,165,1,1668038810
1,0,1,27.21,50.38,116,0,1668799688
0,1,1,26.91,40.56,82,0,1665475949
1,0,1,25.76,33.07,7,0,1659899623
0,0,1,25.0,72.88,190,1,1670436384
1,0,1,26.53,71.09,325,0,1677775911
0,1,1,24.51,46.32,0,0,1660969004
1,1,1,24.38,72.03,3617,1,1668300279
0,1,1,28.6,31.17,144,1,1665783436
0,0,1,25.75,33.4,48,0,1662655591
0,1,1,26.48,59.45,3010,1,1680316703
1,1,1,25.86,75.39,112,0,1678469939
0,0,1,26.21,56.98,94,0,1665399991
1,1,0,25.71,62.7,155,0,1669163498
0,1,1,27.62,52.86,205,0,1664601310
1,0,1,25.59,67.75,133,0,1669198172
0,1,1,25.14,75.52,1171,1,1681346646
0,0,1,23.63,38.75,24,0,1661419895
0,1,1,23.97,45.87,0,0,1659426588
1,1,1,25.45,71.72,1156,1,1681165005
0,1,1,27.32,36.44,148,0,1665902480
1,0,1,28.79,31.27,197,0,1666109045
1,0,1,27.28,45.21,93,0,1665487492
0,0,1,25.41,39.02,0,0,1659547279
1,0,1,25.2,67.87,457,0,1672822546
0,1,1,27.18,31.59,30,1,1662939724
0,1,1,25.36,74.42,144,0,1670556250
1,1,1,27.81,53.67,302,0,1676464232
0,0,1,25.55,29.9,22,0,1661706349
1,0,1,26.71,56.62,349,0,1674153090
1,1,1,25.47,67.37,304,1,1677104498
1,1,1,28.26,61.66,315,0,1676698862
1,0,1,26.66,54.76,97,0,1666959877
1,1,1,26.41,39.59,12,1,1662500737
1,1,1,24.56,73.36,106,1,1668643959
1,1,1,25.42,67.74,321,1,1677208771
0,1,1,22.9,65.53,3327,1,1667526254
1,0,1,25.75,71.61,4095,0,1682004342
1,0,1,24.28,76.62,261,0,1671385401
0,1,1,28.9,36.07,209,0,1666333847
1,0,1,26.38,28.49,16,1,1662412146
0,1,1,24.76,70.83,166,0,1670276929
1,1,1,25.6,69.93,299,0,1677126927
1,1,1,27.06,53.26,90,1,1665349583
1,0,1,25.94,68.24,275,0,1675718490
1,1,1,26.5,66.01,304,1,1678231384
0,1,1,25.63,73.98,1152,1,1681176534
0,1,1,23.95,33.55,17,1,1662084978
0,1,1,24.75,43.38,15,0,1660720313
1,0,1,26.08,59.59,225,0,1664362088
0,0,1,25.55,73.34,1200,0,1681734244
1,1,1,25.86,60.05,726,1,1666650494
1,0,1,25.52,66.18,177,0,1670598858
1,0,1,25.62,70.25,0,0,1682002513
0,0,1,25.99,34.32,16,0,1660852537
1,1,1,27.68,55.82,308,0,1676391408
1,0,1,25.36,61.9,432,0,1673288328
0,1,1,27.43,62.16,96,0,1667250444
0,1,1,24.81,41.15,3,1,1660516406
1,1,1,26.17,67.29,359,1,1677806226
1,0,1,25.24,71.19,1159,0,1681574526
0,1,1,27.63,30.85,169,0,1666071370
0,1,1,25.47,68.78,1152,1,1680831575
1,0,1,25.65,67.14,210,0,1670092579
1,0,1,25.09,65.4,192,0,1669731776
0,0,1,24.18,46.61,4,0,1659521807
1,0,1,25.23,66.46,3541,0,1668261371
1,0,1,23.73,68.63,0,0,1682330582
1,1,1,26.56,60.26,305,0,1676848019
1,0,1,25.12,49.3,1,0,1660164024
1,1,1,25.29,70.78,4048,1,1678909007
1,1,1,26.08,59.31,271,0,1675811243
1,0,1,25.41,62.59,144,0,1668943860
1,0,1,25.92,67.3,431,0,1674506965
0,1,1,26.1,64.81,82,0,1667286903
1,1,1,26.01,62.29,272,0,1675827614
1,1,1,25.59,67.14,176,1,1663987981
1,1,1,24.17,71.24,128,0,1679168987
1,1,1,25.99,61.36,176,1,1664057212
0,1,1,26.92,48.54,169,1,1663543652
0,1,1,24.68,41.38,17,0,1661573384
0,1,1,24.79,71.27,185,0,1669621056
1,1,1,25.2,71.41,199,1,1670015306
0,0,1,24.45,43.21,16,0,1661946018
1,0,1,26.3,62.6,343,0,1673121286
0,1,1,24.86,64.35,176,0,1664006804
1,1,1,25.06,68.5,181,1,1669944115
1,0,1,23.83,75.46,229,0,1671448115
1,0,1,24.8,69.29,384,0,1673096631
1,1,1,25.31,69.13,1106,1,1673046015
0,1,1,26.16,65.55,80,0,1667277784
1,1,1,24.22,74.63,179,0,1672128242
0,0,1,24.82,72.84,198,0,1669633226
1,1,1,26.6,63.84,317,1,1676947442
0,1,1,23.65,40.15,0,0,1661310036
1,1,1,25.48,68.49,353,0,1673500451
1,0,1,25.19,67.34,128,0,1669060074
0,1,1,24.9,42.18,0,1,1659563652
1,1,1,26.69,62.32,1146,1,1679969865
0,1,1,27.4,49.64,220,1,1664836280
1,0,1,27.16,49.23,81,0,1665342902
1,0,1,23.91,68.94,2949,0,1682424756
0,1,1,25.53,70.42,1168,0,1680843741
0,0,1,28.79,30.37,95,0,1665605392
0,0,1,25.08,77.3,1179,0,1681310212
1,1,1,25.89,62.53,305,0,1676993545
1,0,1,24.88,75.28,3934,0,1672577462
0,1,1,25.16,77.1,1153,0,1681329654
0,1,1,25.12,64.86,72,0,1667879492
0,1,1,25.66,73.89,967,1,1681606698
1,1,1,25.27,64.28,404,0,1673310280
1,0,1,24.35,65.44,201,0,1669716565
0,1,1,27.7,30.67,181,0,1666070155
1,1,1,26.84,36.82,90,0,1663231750
1,1,1,25.8,73.78,1191,1,1681775011
0,1,1,27.97,34.21,183,0,1666167978
1,1,1,24.49,69.38,176,0,1669787747
0,1,1,26.07,57.16,1122,0,1680223160
1,1,1,26.43,56.91,85,0,1667018220
0,1,1,24.18,70.5,2797,0,1682223649
0,0,1,26.38,39.48,1,0,1660077905
0,0,1,25.36,48.83,11,0,1660164631
1,1,1,28.28,28.88,147,1,1666053149
1,0,1,27.3,45.89,113,0,1665067133
1,0,1,27.59,49.21,225,0,1664823542
1,1,1,24.5,70.1,119,0,1679283097
1,0,1,27.35,49.25,326,0,1677527211
0,0,1,24.17,69.91,0,0,1682446028
0,1,1,27.21,28.05,38,0,1663052635
1,1,1,26.86,61.17,278,0,1675921569
1,0,1,24.8,75.1,1142,0,1681472904
0,1,1,25.53,72.61,1152,0,1680851021
1,1,1,28.41,57.02,335,0,1676517589
1,0,1,24.54,40.95,13,0,1659789783
1,1,1,26.44,28.41,44,1,1662865027
1,0,1,25.48,74.83,201,0,1671995466
1,1,1,25.28,76.27,236,1,1672018601
1,0,1,26.45,63.36,321,0,1678211355
1,0,1,24.88,71.61,192,0,1669635660
0,0,1,23.89,45.56,0,0,1659697634
1,1,1,25.45,68.47,309,1,1677267028
1,0,0,26.41,59.77,101,0,1668711476
0,0,1,27.32,51.96,119,0,1665140024
1,1,1,24.19,75.94,471,0,1679626198
1,1,1,24.94,37.8,6,1,1659838904
1,1,1,25.83,71.3,112,1,1678394883
1,0,1,26.97,54.49,157,0,1664462269
0,0,1,24.83,66.87,3360,0,1668162840
1,1,1,25.59,66.42,336,0,1674528300
1,0,1,25.28,72.6,241,0,1671469426
1,1,1,26.43,59.84,304,0,1678090639
1,0,1,25.54,66.1,400,0,1673427343
0,1,1,24.52,48.4,5,0,1660984174
0,0,1,25.8,42.37,34,0,1660940501
0,0,1,25.06,39.45,33,0,1662722391
1,0,1,25.19,69.55,3899,0,1671895024
0,0,1,25.63,43.58,16,0,1662551739
1,1,1,25.85,75.31,1119,1,1681697169
1,0,1,25.54,61.11,257,0,1673960863
1,0,1,23.97,41.63,19,0,1661512101
0,1,1,24.38,50.77,12,0,1660452103
1,1,1,24.55,75.43,127,0,1679056174
1,0,1,24.66,59.85,277,0,1679682662
1,0,1,25.11,72.75,279,0,1668525362
1,1,1,28.45,58.76,338,1,1676590357
1,1,1,24.57,71.19,390,1,1668297243
1,0,1,24.38,65.01,272,0,1679672944
0,0,1,26.33,25.91,37,0,1662823747
0,1,1,25.4,68.94,1148,1,1680823682
1,1,1,27.71,48.99,161,0,1666402502
1,1,1,25.81,70.46,395,1,1672794531
1,1,1,24.52,75.32,283,0,1672108757
0,1,1,25.03,71.66,170,0,1670363340
1,1,1,26.33,61.59,145,1,1670893413
0,1,1,24.91,70.33,164,0,1670302475
0,0,1,26.45,33.84,0,0,1659989385
1,1,1,24.17,72.03,486,0,1673679053
1,0,1,25.99,42.16,16,0,1662472214
1,0,1,27.39,58.82,304,0,1677598783
1,0,1,23.45,75.66,248,0,1671705636
0,1,1,23.82,37.89,0,0,1660199178
1,0,0,27.14,49.86,192,0,1663683870
0,0,1,25.2,39.26,37,0,1662724212
0,0,1,24.48,73.5,193,0,1670407169
1,0,1,23.71,39.68,16,0,1661423536
1,1,1,24.05,76.34,285,1,1671416465
1,1,1,25.41,79.42,1186,1,1681261610
0,1,1,27.18,45.44,173,1,1664408235
0,1,1,25.29,62.72,133,0,1666683948
1,0,1,24.72,71.59,137,0,1669386812
1,1,0,23.84,34.91,17,0,1662088616
1,0,1,25.54,63.93,4016,0,1674483778
1,0,1,28.09,43.45,80,0,1663427229
1,1,1,28.3,29.52,71,0,1663209279
1,1,1,26.78,52.19,124,1,1666832230
1,1,1,24.54,70.96,295,0,1669524296
1,1,1,28.14,33.74,78,0,1663220818
1,0,1,26.05,29.87,46,0,1662741208
0,0,1,24.94,72.21,1152,0,1680784814
0,0,1,26.16,60.82,1151,0,1680459320
1,0,1,23.74,77.49,368,0,1679579335
0,0,0,29.54,30.09,176,0,1665770070
0,0,1,24.59,73.09,1161,0,1681040476
0,1,1,27.13,28.65,35,1,1662950634
0,0,1,27.51,44.33,111,0,1665078069
1,0,0,27.2,55.13,3553,0,1674062201
1,1,1,24.26,74.93,167,0,1672126415
1,1,1,27.13,61.37,307,0,1677659446
1,1,1,27.88,27.01,34,1,1663027733
1,0,1,24.76,72.03,214,0,1672306143
1,0,1,24.83,67.56,303,0,1669557757
1,0,1,24.96,73.44,143,0,1668617211
0,1,1,25.05,65.22,170,0,1669934998
1,0,1,24.8,60.47,65,1,1679762190
1,1,1,22.39,64.9,3447,0,1667630817
1,1,1,25.87,71.06,141,0,1668469379
1,1,1,27.34,58.73,303,1,1676148304
1,1,1,25.0,71.01,1049,1,1673575430
0,1,1,25.07,64.8,225,0,1667940920
0,1,1,25.56,74.14,1141,0,1681712963
0,0,1,25.26,66.54,197,0,1669670341
0,0,1,26.88,55.96,221,0,1664713075
1,1,1,26.7,62.3,305,0,1677444690
0,1,1,26.96,45.72,62,0,1663312500
1,0,1,25.31,62.67,181,0,1670763774
0,1,1,25.82,53.29,201,0,1664266758
1,0,1,29.69,38.57,143,0,1666208086
1,1,0,27.28,44.6,112,0,1665107824
0,1,1,24.79,41.02,3,1,1660523075
1,1,1,25.9,71.25,141,0,1668467540
1,1,1,24.45,73.77,346,0,1673655904
1,0,1,25.61,68.78,261,0,1675680282
1,1,1,27.16,64.33,287,0,1675994933
1,0,1,24.5,41.98,16,0,1661600089
1,1,1,25.89,62.29,176,1,1664063882
1,1,1,24.12,41.4,11,0,1661137071
0,0,1,25.12,34.84,1,0,1659723714
1,1,1,24.61,71.49,249,0,1671499872
1,1,1,26.41,54.91,352,0,1677965051
1,0,1,28.23,26.5,35,0,1663011948
1,1,1,24.02,42.27,16,0,1661296081
1,1,1,27.27,50.92,144,1,1664503549
0,0,1,24.9,70.83,409,0,1668505891
1,0,1,23.02,35.76,4095,0,1660219191
0,0,1,23.36,35.93,5,0,1660210094
0,1,1,26.16,54.56,83,0,1665386623
0,1,1,25.22,49.95,11,1,1660172506
1,0,1,23.95,74.61,4095,0,1671363488
1,1,1,24.8,63.49,187,1,1669855894
0,0,1,25.87,60.43,187,0,1664112449
1,0,1,25.17,74.18,1744,0,1681056883
0,0,1,25.52,34.52,4,0,1660842219
0,1,1,26.47,54.02,164,0,1666501567
1,1,1,26.78,51.48,161,1,1663623778
1,1,1,25.49,68.54,114,0,1678517564
1,1,1,25.35,71.67,193,1,1670017736
0,1,1,26.27,34.74,8,1,1662430333
0,1,1,27.08,53.05,224,0,1664773806
1,1,1,24.04,73.25,2975,0,1668578278
1,0,1,25.02,74.38,205,0,1672053302
0,1,1,26.02,54.65,88,0,1665044657
1,0,1,25.07,65.76,112,0,1668764382
1,0,1,29.76,33.75,272,0,1666363026
0,1,1,25.76,62.67,176,0,1664140384
1,0,1,27.02,55.77,117,0,1665152174
0,0,1,26.84,62.38,1141,0,1680027566
0,0,1,24.46,73.09,1165,0,1681039261
1,0,0,25.48,68.9,273,0,1671472469
1,0,1,28.31,47.09,99,0,1666899099
1,1,1,28.04,55.52,307,0,1676446037
1,1,1,27.54,61.26,304,0,1676302873
1,1,1,25.12,68.41,408,0,1673240195
1,1,1,25.63,64.06,81,1,1667869138
1,1,1,25.59,69.68,315,1,1677278537
1,1,1,25.92,47.67,1,0,1660106407
0,1,1,27.93,34.63,145,0,1665805292
1,0,1,25.89,61.45,192,0,1670265975
1,1,1,24.69,66.34,142,0,1669005325
0,1,1,23.04,65.6,3383,0,1667540244
1,1,1,25.36,78.72,1175,0,1681270107
1,1,1,25.59,68.73,115,1,1678497069
1,1,1,27.13,60.93,326,1,1676774016
1,0,1,26.61,59.82,247,0,1673898007
0,0,1,25.55,34.89,34,0,1662894164
1,1,1,26.9,49.08,193,1,1664765921
1,1,1,27.5,55.91,310,1,1677546610
1,1,1,24.99,68.5,0,0,1682129478
1,0,1,25.95,64.55,534,0,1672855448
0,0,1,24.26,44.4,5,0,1659781292
1,1,1,27.15,58.33,302,0,1676189514
1,0,1,26.24,64.7,160,0,1663946117
0,1,1,27.14,43.9,61,0,1663304001
1,1,1,24.48,70.24,139,0,1679278241
1,1,1,28.28,29.3,147,1,1666050116
1,1,1,24.28,68.69,118,0,1669358829
0,1,1,25.07,56.14,54,1,1679781009
1,0,1,27.55,36.53,197,0,1664391850
1,0,1,23.86,69.41,3143,0,1682266187
1,1,1,25.33,70.09,299,0,1677148765
1,0,1,26.54,52.49,112,0,1665058629
1,1,1,26.93,58.55,213,0,1664870308
1,1,1,24.72,41.32,11,0,1661572170
0,0,1,25.46,73.78,1142,0,1681726328
1,1,1,26.59,63.84,285,0,1676033132
0,1,1,24.38,39.57,7,0,1661054548
0,0,1,25.4,68.91,175,0,1670597032
1,1,1,25.26,68.65,161,0,1670732122
1,0,1,24.16,41.42,25,0,1661285160
1,0,1,25.79,62.92,83,0,1667925099
1,0,1,26.44,64.98,1411,0,1670942179
0,0,1,26.15,64.27,1145,0,1680082221
1,0,1,24.02,73.77,220,0,1671643546
1,0,1,25.01,74.43,211,0,1672050258
0,1,1,23.99,42.82,3,0,1661149206
1,0,1,27.45,55.16,85,0,1667213963
1,1,1,28.21,58.1,322,1,1676661894
1,1,1,25.69,64.19,147,1,1668380549
1,1,1,25.58,73.44,1179,0,1681805344
1,1,1,25.82,66.19,1952,1,1672957774
1,1,1,24.68,67.36,1147,0,1680665790
1,0,1,25.43,61.46,422,0,1673362675
1,1,1,24.98,75.88,138,1,1679019753
0,1,1,28.14,30.59,89,0,1665617546
1,0,1,29.3,31.35,214,0,1666279165
1,0,1,23.06,61.31,3343,0,1667582806
1,0,1,25.07,66.39,193,0,1669756723
1,0,1,26.42,54.67,332,0,1678033009
1,1,1,23.42,74.97,233,0,1671698330
1,1,1,25.92,64.97,390,0,1672727396
1,1,1,25.68,69.17,121,0,1678352773
1,1,1,24.1,74.41,210,1,1668566116
1,0,1,27.07,53.01,189,0,1670868473
1,0,1,26.11,53.27,1131,0,1680276597
0,0,1,23.66,63.06,140,0,1667733556
1,0,0,26.96,57.71,208,0,1672332939
1,1,1,25.91,72.31,3888,0,1678761069
1,1,1,26.06,66.57,304,1,1677905685
1,0,1,25.47,65.04,399,0,1668415199
1,0,1,25.81,70.41,208,0,1671989376
0,0,1,25.86,62.24,190,0,1664137348
1,1,1,25.95,67.95,306,0,1677821389
0,0,1,29.84,32.04,310,0,1666366064
1,0,1,27.73,47.4,79,0,1663419943
1,1,1,27.13,63.27,307,1,1677714035
1,1,1,25.14,71.42,182,1,1672453546
1,1,1,26.51,48.38,121,0,1666750194
1,0,1,26.26,40.18,18,0,1662580910
0,1,1,25.55,58.68,1138,1,1680481785
0,1,1,24.02,69.08,0,0,1682230940
0,0,1,25.72,58.79,1132,0,1680257771
0,1,1,25.7,38.18,7,1,1660771874
1,1,1,25.0,66.64,1184,1,1680575897
1,1,1,25.32,72.43,321,0,1673562638
1,1,1,25.63,68.61,124,1,1678496463
0,0,1,24.56,43.06,0,0,1659537572
0,1,1,25.7,59.66,124,0,1666668752
0,1,1,24.71,75.18,1143,0,1681014357
0,0,1,24.73,70.3,1166,0,1680708249
0,0,1,24.8,70.82,238,0,1671189338
1,1,1,27.73,30.35,187,0,1666068332
0,0,1,25.14,67.31,157,0,1669297931
1,1,1,25.04,65.9,98,0,1668760124
1,0,1,26.86,57.58,321,0,1678110664
1,1,1,26.05,65.78,79,0,1667274136
1,1,1,28.46,59.97,336,0,1676607933
1,0,1,24.16,39.61,4095,0,1660245272
1,0,1,23.97,39.46,11,0,1660335042
1,1,1,24.93,75.75,319,0,1673751034
0,1,1,25.04,77.94,1145,1,1681420082
0,0,1,25.69,71.88,165,0,1670533139
1,1,1,25.39,69.09,118,0,1678522683
1,0,1,25.44,64.24,1460,0,1668072242
1,1,1,24.12,70.58,0,0,1682305667
1,1,1,26.52,60.39,241,0,1676850445
1,1,1,24.49,70.08,126,0,1679279455
1,1,1,26.25,59.94,3949,0,1674020675
1,1,1,25.2,75.91,1168,0,1681342400
0,0,1,23.99,47.69,0,0,1659437502
1,0,1,23.72,40.95,16,0,1661429603
1,1,1,24.2,69.48,109,0,1669352745
1,0,1,25.41,70.64,612,0,1673265784
1,1,1,25.43,67.39,485,1,1673483395
0,0,1,24.98,39.95,42,0,1662633124
1,0,1,25.99,61.76,313,0,1677752243
1,0,1,24.46,44.64,27,0,1661684457
0,1,1,27.69,34.91,144,0,1665816836
1,1,1,25.62,60.0,336,0,1668054000
0,1,1,24.78,70.99,2512,0,1682154998
1,0,1,23.87,69.38,2369,0,1682416248
1,1,1,24.05,40.77,16,0,1661502392
0,1,1,27.85,33.62,75,0,1665553124
1,0,1,27.77,45.98,87,0,1663446051
1,0,1,24.54,73.06,355,0,1673701602
0,1,1,24.64,28.08,16,0,1662260967
0,0,1,24.7,68.42,192,0,1670062152
0,1,1,25.94,58.12,87,0,1665305235
0,0,1,24.67,67.91,177,0,1670672485
1,1,1,26.49,64.62,81,1,1667258341
1,0,1,24.72,42.57,23,0,1661691740
0,1,1,26.33,49.28,119,0,1666755057
1,0,1,26.89,57.31,342,0,1677576330
0,0,1,24.97,40.68,42,0,1662635552
1,1,1,26.1,62.33,240,0,1673906554
0,0,1,25.1,79.28,1173,0,1681411590
1,0,1,25.85,59.03,175,0,1670771079
1,0,1,26.07,60.05,341,0,1674118888
0,1,1,26.55,49.03,103,0,1665004562
0,0,1,28.16,35.39,184,0,1666175271
1,1,1,25.05,70.94,159,0,1670295781
1,0,1,26.78,55.86,3137,1,1680393735
1,1,1,25.13,76.5,1029,1,1681523505
0,1,1,24.83,59.05,48,0,1679812577
1,1,1,25.16,41.77,8,0,1661927813
1,0,0,26.54,58.03,219,0,1669052775
1,1,1,24.18,71.25,123,0,1679168380
1,0,0,26.72,58.83,862,0,1674407237
1,0,1,25.89,58.2,188,0,1664052361
1,0,1,24.59,63.83,259,0,1679689342
1,0,1,26.91,55.88,178,0,1663764002
0,0,1,27.04,56.18,192,0,1664708823
0,0,1,25.29,66.78,207,1,1670102315
1,1,1,25.93,56.88,79,1,1667856981
0,1,1,24.98,67.72,155,1,1670219718
1,1,1,27.14,52.19,151,0,1666487589
0,1,1,26.08,56.33,81,0,1665302197
1,1,1,25.56,64.78,244,0,1668406683
0,1,1,24.63,69.89,155,0,1670307343
1,0,1,25.32,71.24,1174,0,1681141321
1,1,1,24.84,72.03,114,1,1668637277
0,0,1,28.41,44.97,214,0,1664651739
1,1,1,25.56,69.13,307,1,1677285807
1,0,1,26.51,51.19,108,0,1665242660
1,1,1,25.07,66.54,1123,0,1680556479
1,0,1,25.93,32.65,18,1,1661804032
1,1,1,24.62,72.78,236,1,1668557001
1,1,1,25.76,66.18,3941,1,1672712748
1,1,1,24.15,70.71,0,1,1682295945
1,1,1,25.69,70.26,114,1,1667354981
0,1,1,23.62,43.07,1,1,1660354455
